Process Name           PID  PPID  CPU Mem(KB) IO/s Prio Threa Started Owner          Command
System                   4     0   1%    1296    0   8   309 20-10-05 Unknown        NULL
opera                11104  5272   0%  197276    0   4    18 13:38:27 Zakhar         "C:\Users\Zakhar\AppData\Local\Programs\Opera GX\71.0.3770.205\opera.exe" --type=renderer --field-trial-handle=1632,15750910078341992813,5370538149923182589,131072 --lang=ru --extension-process --enable-auto-reload --with-feature:chroma-support=on --with-feature:gx-launcher=on --with-feature:gx-partner-panels=on --with-feature:gx-lights-api=on --with-feature:gx-limiters-api=on --with-feature:gx-palette-api=on --with-feature:gx-themes-api=on --with-feature:import-from-opera=on --with-feature:search-engine-suggestion=on --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --device-scale-factor=1.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=40 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=1256 /prefetch:1
MobaXterm            12184  6348   0%   52556    0   8     3 13:39:13 Zakhar         "C:\Program Files (x86)\Mobatek\MobaXterm\MobaXterm.exe" 
XWin_MobaX           11432 12184   0%   26336    0   8     6 13:39:15 Zakhar         "C:\Users\Zakhar\DOCUME~1\MobaXterm\slash\bin\XWin_MobaX.exe"  -silent-dup-error -notrayicon -nolisten inet6 -hostintitle +bs  -clipboard -nowgl -multiwindow -noreset :0
MoTTY                11092 12184   0%   12180    0   8     4 13:39:17 Zakhar         "C:\Users\Zakhar\DOCUME~1\MobaXterm\slash\bin\motty.exe" -load "TERM5249782"
cygtermd              2668 11092   0%    6448    0   8     6 13:39:17 Zakhar         C:\Users\Zakhar\DOCUME~1\MobaXterm\slash\bin\cygtermd.exe /home/mobaxterm /bin/bash -l -i
conhost               7708  2668   0%   10748    0   8     2 13:39:17 Zakhar         \??\C:\Windows\system32\conhost.exe 0x4
bash                  3916  2508   0%    9172    0   8     6 13:39:17 Zakhar         "C:\Users\Zakhar\DOCUME~1\MobaXterm\slash\bin\bash.exe"
ssh-agent             2372  3136   0%    6240    0   8     3 13:39:17 Zakhar         "C:\Users\Zakhar\DOCUME~1\MobaXterm\slash\bin\ssh-agent.exe"
opera                 4148  5272   0%   67844    0   4    14 13:41:58 Zakhar         "C:\Users\Zakhar\AppData\Local\Programs\Opera GX\71.0.3770.205\opera.exe" --type=renderer --field-trial-handle=1632,15750910078341992813,5370538149923182589,131072 --lang=ru --enable-auto-reload --with-feature:chroma-support=on --with-feature:gx-launcher=on --with-feature:gx-partner-panels=on --with-feature:gx-lights-api=on --with-feature:gx-limiters-api=on --with-feature:gx-palette-api=on --with-feature:gx-themes-api=on --with-feature:import-from-opera=on --with-feature:search-engine-suggestion=on --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --device-scale-factor=1.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=41 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=4636 /prefetch:1
audiodg              10124  3040   3%   22444    0   8    12 13:41:59 Unknown        NULL
opera                  240  5272   0%   70232    0   4    14 13:42:00 Zakhar         "C:\Users\Zakhar\AppData\Local\Programs\Opera GX\71.0.3770.205\opera.exe" --type=renderer --field-trial-handle=1632,15750910078341992813,5370538149923182589,131072 --lang=ru --enable-auto-reload --with-feature:chroma-support=on --with-feature:gx-launcher=on --with-feature:gx-partner-panels=on --with-feature:gx-lights-api=on --with-feature:gx-limiters-api=on --with-feature:gx-palette-api=on --with-feature:gx-themes-api=on --with-feature:import-from-opera=on --with-feature:search-engine-suggestion=on --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --device-scale-factor=1.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=42 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=8172 /prefetch:1
opera                 3456  5272   0%   68772    0   4    14 13:42:00 Zakhar         "C:\Users\Zakhar\AppData\Local\Programs\Opera GX\71.0.3770.205\opera.exe" --type=renderer --field-trial-handle=1632,15750910078341992813,5370538149923182589,131072 --lang=ru --enable-auto-reload --with-feature:chroma-support=on --with-feature:gx-launcher=on --with-feature:gx-partner-panels=on --with-feature:gx-lights-api=on --with-feature:gx-limiters-api=on --with-feature:gx-palette-api=on --with-feature:gx-themes-api=on --with-feature:import-from-opera=on --with-feature:search-engine-suggestion=on --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --device-scale-factor=1.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=43 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=5980 /prefetch:1
WmiApSrv              6092  1172   0%    7908    0   8     5 13:55:42 Unknown        NULL
opera                 4384  5272   0%   26716    0   4    14 13:56:54 Zakhar         "C:\Users\Zakhar\AppData\Local\Programs\Opera GX\71.0.3770.205\opera.exe" --type=renderer --field-trial-handle=1632,15750910078341992813,5370538149923182589,131072 --lang=ru --enable-auto-reload --with-feature:chroma-support=on --with-feature:gx-launcher=on --with-feature:gx-partner-panels=on --with-feature:gx-lights-api=on --with-feature:gx-limiters-api=on --with-feature:gx-palette-api=on --with-feature:gx-themes-api=on --with-feature:import-from-opera=on --with-feature:search-engine-suggestion=on --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --device-scale-factor=1.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=65 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=8116 /prefetch:1
MoTTY                 2648 12184   1%   12080    0   8     7 13:57:15 Zakhar         "C:\Users\Zakhar\DOCUME~1\MobaXterm\slash\bin\motty.exe" -load "TERM5249783"
cygtermd              3032  2648   0%    6436    0   8     8 13:57:15 Zakhar         C:\Users\Zakhar\DOCUME~1\MobaXterm\slash\bin\cygtermd.exe /home/mobaxterm /bin/bash -l -i
conhost               7800  3032   0%   10796    0   8     5 13:57:16 Zakhar         \??\C:\Windows\system32\conhost.exe 0x4
bash                  5976  7752   0%    8956    0   8     8 13:57:16 Zakhar         "C:\Users\Zakhar\DOCUME~1\MobaXterm\slash\bin\bash.exe"
ex2                  11440  5164   2%   55756    0   8     5 13:57:28 Zakhar         "C:\projects\os\week8\ex2.exe"
bash                  3728  7124   0%    8180    0   8     9 13:57:30 Zakhar         "C:\Users\Zakhar\DOCUME~1\MobaXterm\slash\bin\bash.exe"
bash                  2344  3728   0%    6872    0   8     7 13:57:31 Zakhar         "C:\Users\Zakhar\DOCUME~1\MobaXterm\slash\bin\bash.exe"
bash                  7776  2344   0%    6704    0   8     5 13:57:31 Zakhar         "C:\Users\Zakhar\DOCUME~1\MobaXterm\slash\bin\bash.exe"
MobaBox              10500  7776  10%   10892    0   8     7 13:57:31 Zakhar         C:\Users\Zakhar\DOCUME~1\MobaXterm\slash\bin\MobaBox.exe ps1 -cols 36000 -lines 36000
